indexnav_id,indexnav_big_title,indexnav_min_title1,indexnav_min_title2,indexnav_min_title3,indexnav_min_title4,indexnav_min_title5,indexnav_min_title6,indexnav_min_title7,indexnav_min_title8,indexnav_min_title9,indexnav_left_img,indexnav_right_img1,indexnav_right_img2
87,进口酒饮粮油,白酒,保健酒,碳酸饮料,果蔬饮料,咖啡饮料,功能饮料,农夫山泉,百事可乐,维他,/php/tmall/src/public/img/index/indexfenlie-240-296-87.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-173.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-174.jpg
88,奶制品,蜂蜜,植物精华,枸杞,膳食营养剂,燕窝,阿胶,成人奶粉,普洱茶,芝麻糊/藕粉,/php/tmall/src/public/img/index/indexfenlie-240-296-88.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-175.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-176.jpg
89,休闲零食,大米,腊肠/腊肉,干菜/紫菜,莲子,银耳,百合,海产品,豆类,桂圆干,/php/tmall/src/public/img/index/indexfenlie-240-296-89.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-177.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-178.jpg
90,饼干糖巧,花生油,调和油,葵花籽油,大豆油,橄榄油,玉米油,调味料,调味酱,腌制品,/php/tmall/src/public/img/index/indexfenlie-240-296-90.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-179.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-180.jpg
91,酒水饮料,车厘子/樱桃,橙,牛排,芒果,虾,鸡肉,柑/橘/桔,牛肉,梨,/php/tmall/src/public/img/index/indexfenlie-240-296-91.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-181.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-182.jpg
92,冲饮保健,饼干,糕点,坚果,巧克力,方便面,蜜饯果干,薯片膨化,糖果,海产品,/php/tmall/src/public/img/index/indexfenlie-240-296-92.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-183.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-184.jpg
93,米面杂粮,其他食用油,大米,橄榄油,调味酱,洋酒/烈酒,水,茶叶,调味汁/油,冲饮茶/蜂蜜,/php/tmall/src/public/img/index/indexfenlie-240-296-93.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-185.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-186.jpg
94,油品调味,进口纯牛奶,进口含乳饮料,进口酸奶,常温奶,含乳饮料,酸奶,蒙牛,伊利,旺旺,/php/tmall/src/public/img/index/indexfenlie-240-296-94.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-187.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-188.jpg
95,个人清洁,好吃的坚果,猪肉类,牛肉类,芒果/蔬果干,蓝莓/橄榄,核桃/核桃仁,鸡鸭/禽肉类,瓜子,豆类制品,/php/tmall/src/public/img/index/indexfenlie-240-296-95.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-189.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-190.jpg
96,美容护肤,巧克力,糖果,饼干,西式糕点,传统糕点,薯片/膨化,果冻/布丁,口香糖,良品铺子,/php/tmall/src/public/img/index/indexfenlie-240-296-96.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-191.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-192.jpg
97,个人护理,白酒,保健酒,碳酸饮料,果蔬饮料,咖啡饮料,功能饮料,农夫山泉,百事可乐,维他,/php/tmall/src/public/img/index/indexfenlie-240-296-97.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-193.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-194.jpg
98,纸制品,蜂蜜,植物精华,枸杞,膳食营养剂,燕窝,阿胶,成人奶粉,普洱茶,芝麻糊/藕粉,/php/tmall/src/public/img/index/indexfenlie-240-296-98.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-195.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-196.jpg
99,家庭清洁,大米,腊肠/腊肉,干菜/紫菜,莲子,银耳,百合,海产品,豆类,桂圆干,/php/tmall/src/public/img/index/indexfenlie-240-296-99.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-197.jpg,/php/tmall/src/public/img/index/indexfenlie-150-263-198.jpg
